msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
     cuando amanecia dia despues lluvia ;0;cuand amaneci dia despu lluvi;cuando amanecia dia despue lluvia;cuando amanecia dia despues lluvia;         
mirar cielo con insistencia suficiente primer rayo gran tormenta impacte tus ojos  ;0;mir ciel con insistent suficient prim ray gran torment impact tus ojos;mirar cielo con insistencia suficiente primer rayo gran tormenta impacte tu ojo;mirar cielo con insistencia suficiente primer rayo gran tormenta impacte tus ojos;                       
lluvia hasta cuando \U0001f621 ;1;lluvi hast cuand \u0001f621;lluvia hasta cuando \u0001f621;lluvia hasta cuando  ;      \U0001f621
no hay como mirar futbol cuando llueve estando casa  \U0001f4a7 \u2601 \U0001f3e1 \U0001f44c \u26bd ;1;no hay com mir futbol cuand lluev estand cas \u0001f4a7 \u2601 \u0001f3e1 \u0001f44c \u26bd;no hay como mirar futbol cuando llueve estando casa \u0001f4a7 \u2601 \u0001f3e1 \u0001f44c \u26bd;no hay como mirar futbol cuando llueve estando casa          ;                  \U0001f4a7 \u2601 \U0001f3e1 \U0001f44c \u26bd
que hermosa tormenta     ;1;que hermos torment;que hermosa tormenta;que hermosa tormenta;     
esa lluvia para dormir  \u2764 ;0;esa lluvi par dorm \u2764;esa lluvia para dormir \u2764;esa lluvia para dormir  ;        \u2764
 \u26a0  ojo   avisa   \u201c luis severa tormenta con granizo     mts altura sobre ruta   atencion puede llegar ciudad hacer daño si sigue asi \u201d ;0;\u26a0 ojo avis \u201c luis sever torment con graniz mts altur sobr rut atencion pued lleg ciud hac dañ si sig asi \u201d;\u26a0 ojo avisa \u201c lui severa tormenta con granizo mt altura sobre ruta atencion puede llegar ciudad hacer daño si sigue asi \u201d;  ojo avisa   luis severa tormenta con granizo mts altura sobre ruta atencion puede llegar ciudad hacer daño si sigue asi  ;\u26a0     \u201c                                     \u201d
 dormi mal amiga flashie lluvia ;0;dormi mal amig flashi lluvi;dormi mal amiga flashie lluvia;dormi mal amiga flashie lluvia;         
encima llueve estoy pata  embole maxima expresion ;1;encim lluev estoy pat embol maxim expresion;encima llueve estoy pata embole maxima expresion;encima llueve estoy pata embole maxima expresion;             
desenchufen abuelo hay tormenta  ;1;desenchuf abuel hay torment;desenchufen abuelo hay tormenta;desenchufen abuelo hay tormenta;       
esta lluvia ideal cenar unos fideo con salsa  ;1;esta lluvi ideal cen unos fide con sals;esta lluvia ideal cenar uno fideo con salsa;esta lluvia ideal cenar unos fideo con salsa;               
como llueve  orgasmo escuchar sentir esto  \U0001f60d ;1;com lluev orgasm escuch sent esto \u0001f60d;como llueve orgasmo escuchar sentir esto \u0001f60d;como llueve orgasmo escuchar sentir esto  ;            \U0001f60d
 esa calle traumo chica dia lluvia sorry ;0;esa call traum chic dia lluvi sorry;esa calle traumo chica dia lluvia sorry;esa calle traumo chica dia lluvia sorry;             
me levante ir clases pum largo tormenta saludos desde cama  \U0001f44b ;1;me levant ir clas pum larg torment salud desd cam \u0001f44b;me levante ir clase pum largo tormenta saludo desde cama \u0001f44b;me levante ir clases pum largo tormenta saludos desde cama  ;                    \U0001f44b
la lluvia para cucharear ;0;la lluvi par cuchar;la lluvia para cucharear;la lluvia para cucharear;       
real estoy entre mirar capitulo serie dormir  seguir pintando con lluvia \U0001f60d \U0001f60d \U0001f60d ;1;real estoy entre mir capitul seri dorm segu pint con lluvi \u0001f60d \u0001f60d \u0001f60d;real estoy entre mirar capitulo serie dormir seguir pintando con lluvia \u0001f60d \u0001f60d \u0001f60d;real estoy entre mirar capitulo serie dormir seguir pintando con lluvia      ;                      \U0001f60d \U0001f60d \U0001f60d
me agarro toda lluvia bici lpm ;0;me agarr tod lluvi bici lpm;me agarro toda lluvia bici lpm;me agarro toda lluvia bici lpm;           
hoy hace     años  tipo    años  habia sido expulsado secundaria haber hecho caricatura profesor  tuvo irse otro pais conseguir titulo  estaba haciendo unos experimentos cuando accidentalmente descubrio rayos   ;0;hoy hac años tip años habi sid expuls secundari hab hech caricatur profesor tuv irse otro pais consegu titul estab hac unos experiment cuand accidental descubri ray;hoy hace año tipo año habia sido expulsado secundaria haber hecho caricatura profesor tuvo irse otro pai conseguir titulo estaba haciendo uno experimento cuando accidentalmente descubrio rayo;hoy hace años tipo años habia sido expulsado secundaria haber hecho caricatura profesor tuvo irse otro pais conseguir titulo estaba haciendo unos experimentos cuando accidentalmente descubrio rayos;                                                     
el olor lluvia  \U0001f60d ;0;el olor lluvi \u0001f60d;el olor lluvia \u0001f60d;el olor lluvia  ;      \U0001f60d
 vas mojarte con lluvia  ;1;vas mojart con lluvi;va mojarte con lluvia;vas mojarte con lluvia;       
tengo rendir final todo inundado  suerte manejo regalo  \U0001f612 ;1;teng rend final tod inund suert manej regal \u0001f612;tengo rendir final todo inundado suerte manejo regalo \u0001f612;tengo rendir final todo inundado suerte manejo regalo  ;                \U0001f612
con lluvia tendria estar durmiendo  pero estoy particular ;1;con lluvi tendri estar durm per estoy particul;con lluvia tendria estar durmiendo pero estoy particular;con lluvia tendria estar durmiendo pero estoy particular;               
se ve algunos accionistas tambien comieron viaje lluvia inversiones  mejor equipo    años  como no vamos controlamos inflacion  etc   problema gran parte nuestra deuda dolares  moneda maneja gran titiritero   ;0;se ve algun accion tambi com viaj lluvi inversion mejor equip años com no vam control inflacion etc problem gran part nuestr deud dolar moned manej gran titiriter;se ve alguno accionista tambien comieron viaje lluvia inversione mejor equipo año como no vamo controlamo inflacion etc problema gran parte nuestra deuda dolare moneda maneja gran titiritero;se ve algunos accionistas tambien comieron viaje lluvia inversiones mejor equipo años como no vamos controlamos inflacion etc problema gran parte nuestra deuda dolares moneda maneja gran titiritero;                                                       
  avion va arriba tormenta  no asustes   \U0001f60a \U0001f917 ;0;avion va arrib torment no asust \u0001f60 \u0001f917;avion va arriba tormenta no asuste \u0001f60a \u0001f917;avion va arriba tormenta no asustes    ;            \U0001f60a \U0001f917
 superliga  patronato ruda bajo agua  mismas estuvieron empate  union    abril  hoy estan bajo lluvia ingreso vestuario patron    ;0;superlig patronat rud baj agu mism estuv empat union abril hoy estan baj lluvi ingres vestuari patron;superliga patronato ruda bajo agua misma estuvieron empate union abril hoy estan bajo lluvia ingreso vestuario patron;superliga patronato ruda bajo agua mismas estuvieron empate union abril hoy estan bajo lluvia ingreso vestuario patron;                                 
no trabajo llueve  trabajo hay sol espectacular ir pile  bien vida   ;0;no trabaj lluev trabaj hay sol espectacul ir pil bien vid;no trabajo llueve trabajo hay sol espectacular ir pile bien vida;no trabajo llueve trabajo hay sol espectacular ir pile bien vida;                     
lluvia mates  con mejor compañia  \U0001f475 \U0001f493 ;0;lluvi mat con mejor compañi \u0001f475 \u0001f493;lluvia mate con mejor compañia \u0001f475 \u0001f493;lluvia mates con mejor compañia    ;          \U0001f475 \U0001f493
cuando voy madurar dejar tenerle miedo tormentas  hola insomnio  \U0001f44b ;0;cuand voy madur dej ten mied torment hol insomni \u0001f44b;cuando voy madurar dejar tenerle miedo tormenta hola insomnio \u0001f44b;cuando voy madurar dejar tenerle miedo tormentas hola insomnio  ;                  \U0001f44b
que linda lluvia  estoy esperando parta rayo ;1;que lind lluvi estoy esper part ray;que linda lluvia estoy esperando parta rayo;que linda lluvia estoy esperando parta rayo;             
hernan hablo hacer algo como amo amigo hable sabados para activarmelos  pero llueve bocha  \U0001f926 ;1;hern habl hac algo com amo amig habl sab par activarmel per lluev boch \u0001f926;hernan hablo hacer algo como amo amigo hable sabado para activarmelo pero llueve bocha \u0001f926;hernan hablo hacer algo como amo amigo hable sabados para activarmelos pero llueve bocha  ;                            \U0001f926
tremenda lluvia estar acostada pero no   estoy espero no quedarme libre ;1;tremend lluvi estar acost per no estoy esper no qued libr;tremenda lluvia estar acostada pero no estoy espero no quedarme libre;tremenda lluvia estar acostada pero no estoy espero no quedarme libre;                     
lluvia orto ;1;lluvi orto;lluvia orto;lluvia orto;   
que lluvia hdp ;1;que lluvi hdp;que lluvia hdp;que lluvia hdp;     
linda lluvia  viene chanta canchitas  \U0001f60c ;1;lind lluvi vien chant canchit \u0001f60c;linda lluvia viene chanta canchita \u0001f60c;linda lluvia viene chanta canchitas  ;          \U0001f60c
vamos hoy llueve \U0001f64f  ;1;vam hoy lluev \u0001f64f;vamo hoy llueve \u0001f64f;vamos hoy llueve  ;      \U0001f64f
que tormenta orto con necesidad;1;que torment orto con neces;que tormenta orto con necesidad;que tormenta orto con necesidad;         
no llueve todo finde   cuando va llover  justo año nuevo;0;no lluev tod find cuand va llov just año nuev;no llueve todo finde cuando va llover justo año nuevo;no llueve todo finde cuando va llover justo año nuevo;                   
queria lluvia ahi tenes ;1;queri lluvi ahi ten;queria lluvia ahi tene;queria lluvia ahi tenes;       
que pasa salen con lluvia     yo no puedo ni salir cama todavia ;0;que pas sal con lluvi yo no pued ni sal cam todavi;que pasa salen con lluvia yo no puedo ni salir cama todavia;que pasa salen con lluvia yo no puedo ni salir cama todavia;                       
ayer entere rayos salen tierra  nadie dijo  ;0;ayer enter ray sal tierr nadi dij;ayer entere rayo salen tierra nadie dijo;ayer entere rayos salen tierra nadie dijo;             
a novio haces feliz con tan poco    hoy hice tuco salio muy rico  muy modesta pero verdad  dijo    veces estaba riquisimo gracias hacer comida tan rica dia lluvia  amo ;0;a novi hac feliz con tan poc hoy hic tuc sali muy ric muy modest per verd dij vec estab riquisim graci hac com tan ric dia lluvi amo;a novio hace feliz con tan poco hoy hice tuco salio muy rico muy modesta pero verdad dijo vece estaba riquisimo gracia hacer comida tan rica dia lluvia amo;a novio haces feliz con tan poco hoy hice tuco salio muy rico muy modesta pero verdad dijo veces estaba riquisimo gracias hacer comida tan rica dia lluvia amo;                                                         
 reprogramacion  taburetes  arte      \u2757 \u2757por pronostico lluvias  subasta taburetes politecnico reprogramada proximo lunes        \u2757  \u2757  ;0;reprogramacion taburet arte \u2757 \u2757por pronost lluvi subast taburet politecn reprogram proxim lun \u2757 \u2757;reprogramacion taburete arte \u2757 \u2757por pronostico lluvia subasta taburete politecnico reprogramada proximo lune \u2757 \u2757;reprogramacion taburetes arte     pronostico lluvias subasta taburetes politecnico reprogramada proximo lunes    ;      \u2757 \u2757por                 \u2757 \u2757
se salio corazon pecho con trueno ;0;se sali corazon pech con truen;se salio corazon pecho con trueno;se salio corazon pecho con trueno;           
me estoy dando cuenta lluvia va fallar asi voy poner estudiar  ;0;me estoy dand cuent lluvi va fall asi voy pon estudi;me estoy dando cuenta lluvia va fallar asi voy poner estudiar;me estoy dando cuenta lluvia va fallar asi voy poner estudiar;                     
me iba quejar tenia volver caminando con lluvia pero acorde sabado corrimos con bobos   cuadras con tormenta electrica  calles inundadas con viento frio paso ;0;me iba quej teni volv camin con lluvi per acord sab corr con bob cuadr con torment electr call inund con vient fri pas;me iba quejar tenia volver caminando con lluvia pero acorde sabado corrimo con bobo cuadra con tormenta electrica calle inundada con viento frio paso;me iba quejar tenia volver caminando con lluvia pero acorde sabado corrimos con bobos cuadras con tormenta electrica calles inundadas con viento frio paso;                                               
los voy poner contexto  hermano salio  am  lluvia   sujeto  individuo cuando sale toma cantidades muy bajas alcohol  pero siempre puede haber excepcion  noche fue    ;0;los voy pon context herman sali am lluvi sujet individu cuand sal tom cantidad muy baj alcohol per siempr pued hab excepcion noch fue;lo voy poner contexto hermano salio am lluvia sujeto individuo cuando sale toma cantidade muy baja alcohol pero siempre puede haber excepcion noche fue;los voy poner contexto hermano salio am lluvia sujeto individuo cuando sale toma cantidades muy bajas alcohol pero siempre puede haber excepcion noche fue;                                               
ola bebe estas invitado casa no hacer nada  solamente acostarnos  darnos muchos besos escuchar como llueve enviar ;1;ola beb estas invit cas no hac nad sol acost darn much bes escuch com lluev envi;ola bebe esta invitado casa no hacer nada solamente acostarno darno mucho beso escuchar como llueve enviar;ola bebe estas invitado casa no hacer nada solamente acostarnos darnos muchos besos escuchar como llueve enviar;                                 
